SID,SMILES,-log10(Carcinogenicity-Rat_(TD50) [mmol/kg-bw/day])
48413316,C1=CC(=C(C=C1C2=CC(=C(C=C2)NN=C3C(=CC4=CC(=CC(=C4C3=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-])O)O)NN=C5C(=CC6=CC(=CC(=C6C5=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Cu].[Cu],-0.15836249209524964
48413317,C1=CC(=C2C(=C1N)C(=O)C3=C(C=CC(=C3C2=O)N)N)N,0.23507701535011152
48413320,CNC1=C(C=C(C=C1)N(CCO)CCO)[N+](=O)[O-],-0.43933269383026263
48413325,[O-]Br(=O)=O.[K+],1.2306226739238615
48413327,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O,1.3477536589966768
48413328,C(Cl)(Cl)Br,0.3535962737769304
48413329,CCBr,-0.1367205671564068
48413331,C1=CC(=CC=C1C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)[O-])C(=O)[O-])NN=C4C(=O)C=CC(=NNC5=C(C=CC(=C5)S(=O)(=O)[O-])[O-])C4=O.[Na+].[Na+].[Cu+2],2.5654310959658013
48413332,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,3.170053304058364
48413333,C=CC=C,-0.6839471307515121
48413335,CC(C)(C)O,0.059483515067432775
48413336,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,-0.5224442335063199
48413341,CCCCN(CCCCO)N=O,2.5816987086802548
48413345,CCCCN(C(=O)N)N=O,2.4485500020271247
48413346,CC(C)(C)C1=C(C=CC(=C1)OC)O,-0.3521825181113625
48413355,CC1CC(=O)O1,0.7958800173440752
48413358,[Cl-].[Cl-].[Cd+2],4.129596094720973
48413361,[O-]S(=O)(=O)[O-].[Cd+2],3.9829666607012197
48413363,C1=CC(=C(C=C1C=CC(=O)O)O)O,-0.21748394421390624
48413369,CCCC(CCC)C(=O)[O-].CCCC(CCC)C(=O)[O-].[Ca+2],-0.5998830720736879
48413374,C1C=CCC2C1C(=O)N(C2=O)SC(C(Cl)Cl)(Cl)Cl,0.6777807052660807
48413375,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-0.8401060944567578
48413379,CNC(=O)OC1=CC=CC2=CC=CC=C21,1.1542819820333414
48413382,C(Cl)(Cl)(Cl)Cl,0.7423214251308154
48413383,C(C(=O)O)N(C(=O)N)N=O,1.5331323796458904
48413390,C1=CC=C(C(=C1)O)O,0.18775530319963077
48413397,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,2.530177984021837
48413402,C1(C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)C(=O)O)C(=O)O,0.978810700930062
48413409,C1=CC(=CC=C1N)OC2=CC=C(C=C2)Cl,0.7670038896078462
48413410,C1(C(=C(C(=O)O1)Cl)C(Cl)Cl)O,2.571865205971211
48413411,CC1CC(CN(C1)S(=O)(=O)C2=CC(=C(C=C2)Cl)C(=O)O)C,1.8356471442155629
48413414,CC(=C)CCl,-0.09691001300805642
48413417,C1=CC(=C(C=C1N)N)Cl,-0.3443922736851107
48413418,C1=CC(=C(C=C1Cl)N)N,-0.17609125905568124
48413424,C(C(F)(F)F)Cl,0.13253251214094852
48413425,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C,1.869666231504994
48413426,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)NCCO)Cl)C,1.7520267336381934
48413431,C1=CC(=CC=C1N)Cl.Cl,1.332547047110046
48413433,C1=CC=C(C=C1)Cl,-0.34044411484011833
48413439,CC(CNC(=O)N(C(C)Cl)N=O)O,3.2276782932770804
48413440,C(F)Cl,0.3957739469155299
48413441,C(Cl)(Cl)Cl,-0.34044411484011833
48413442,COCCl,1.1655792963184675
48413444,C1=CC(=CN=C1)CCl.Cl,-0.4216039268698311
48413446,CN(C)C(=O)NC1=CC=C(C=C1)Cl,0.1811145854059901
48413448,C#CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OC(=O)N,1.5128616245228135
48413451,C=CC(=C)Cl,0.8507808873446201
48413451,C=CC(=C)Cl,0.8507808873446201
48413456,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,-0.931457870689005
48413457,C(CCl)N(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O,3.9208187539523753
48413465,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,-0.008600171761917567
48413468,C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2N,-1.6794278966121188
48413469,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,2.166852888087215
48413472,CC1C(OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,1.5243288116755704
48413473,CC1C=C(C(=O)OC2CC[N+]3(C2(C(=CC3)COC(=O)C1(C)OC(=O)C)[O-])C)C=C,2.910094888560602
48413475,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,0.15739076038943792
48413479,O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Co+2],3.3124710387853655
48413487,C1=CC=C2C(=C1)C=CC(=O)O2,0.5718652059712112
48413488,CC1=C(C=CC(=C1)OC)N,-0.5352941200427705
48413489,CC1=CC(=C(C=C1)OC)N,0.14630178822382564
48413490,CC=CC=O,1.2225731776106885
48413491,C1=CC=C(C=C1)N(N=O)[O-].[NH4+],1.269217724333611
48413493,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,1.5800442515102422
48413503,C1CCC(=NO)C1,0.384049948343599
48413504,COC1=C(C=C(C=C1)C(=O)NC2=C(C=NC=C2Cl)Cl)OC3CCCC3,2.393618634889395
48413505,C1CNP(=O)(OC1)N(CCCl)CCCl,2.0726296369609765
48413509,COC1=CC=C(C=C1)C(=O)C(=CC(=O)[O-])Br.[Na+],2.0447934624580584
48413510,CN(C)NN=C1C(=NC=N1)C(=O)N,2.408935392973501
48413511,CN(C)NC(=O)CCC(=O)O,-1.1931245983544616
48413512,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,1.0447934624580584
48413516,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,0.6216020990518624
48413517,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br,-0.541579243946581
48413517,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br,-0.541579243946581
48413520,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C,0.5376020021010439
48413521,CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CCC4=O)C)C,0.8239087409443188
48413531,CC(=O)N(C1=CC=CC2=C1CC3=CC=CC=C32)C(=O)C,1.1450869776921444
48413537,C=CCN(CC=C)N=O,0.5702477199975919
48413538,C1=C(OC(=C1)[N+](=O)[O-])C2=NC(=NC(=N2)N)N,2.113509274827518
48413540,COC1=C(C=C(C=C1)N)N.OS(=O)(=O)O,0.1106982974936897
48413544,CC1=C(C=C(C=C1)N)N,1.6946486305533763
48413545,CC1=C(C=C(C=C1)N)N.Cl.Cl,1.6439741428068773
48413550,C1=CC(=C(C=C1CCN)[N+]#N)[O-].Cl,0.7258421507363202
48413553,C1=CC=C2C(=C1)C3=C(O2)C=C(C=C3)N,1.869666231504994
48413555,C(C(CBr)Br)Cl,2.958607314841775
48413556,C(C(C(C(C(CBr)O)O)O)O)Br,1.5654310959658013
48413557,C(CBr)Br,2.0920514783877278
48413558,C(C(C(C(C(CBr)O)O)O)O)Br,1.0476919903378747
48413560,CCCCNC(=O)N(CCCC)N=O,1.6716203965612624
48413564,CC(F)(Cl)Cl,-1.6532125137753437
48413570,C(C(=O)O)(Cl)Cl,-0.09691001300805642
48413571,C(#CCl)Cl,1.4236586497942072
48413573,C1=CC(=CC=C1Cl)Cl,-0.6414741105040995
48413574,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,0.9546770212133425
48413576,C(C=CCCl)Cl,2.623423042943488
48413582,C(CCl)Cl,0.8297382846050426
48413593,COP(=O)(OC)OC=C(Cl)Cl,1.7258421507363202
48413594,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[Na+].[Na+],1.7520267336381934
48413602,CCN(CC)C1=CC=C(C=C1)N=NC2=CC=[N+](C=C2)[O-],2.219682687859849
48413605,CCN(CC)C(=O)C,1.114638779968488
48413608,C(COCCO)O,-1.1931245983544616
48413611,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,3.080398976215889
48413612,CCNC(=S)NCC,0.7399286120149252
48413616,C1C(O1)COC2=CC(=CC=C2)OCC3CO3,1.7695510786217261
48413618,C1=CC=C2C(=C1)C(=O)NC(N2)C3=CC=C(S3)[N+](=O)[O-],2.2549252084179425
48413619,C1C=CCON1N=O,0.10017949757290372
48413620,C1CC(=O)OC2=CC=CC=C21,-1.3010299956639813
48413621,CCCC1=CC2=C(C=C1)OCO2,0.0599818449923368
48413628,CC1CC(OC(O1)C)OC(=O)C,-0.6138418218760693
48413628,CC1CC(OC(O1)C)OC(=O)C,-0.6138418218760693
48413630,COC1=CC(=C(C=C1)OC)C=CC2=CC=C(C=C2)N,2.549750891680639
48413632,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=C=O)OC)N=C=O,-0.7403626894942439
48413633,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N.Cl.Cl,2.484126156288321
48413637,COC1=C(C2=C(C(=C1)O)C(=O)C3=C(C=C4C(=C3O2)C5C=COC5O4)OC)OC,3.0236500209967265
48413639,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,1.832682665251824
48413641,CO[P+](=O)OC,-0.10037054511756291
48413642,COP(=O)(C)OC,-0.7512791039833423
48413643,COP(=O)(N1CCOCC1)OC,-0.49831055378960054
48413644,CC1=CC(=NC(=N1)C2=CC=C(O2)[N+](=O)[O-])C,2.197910742118267
48413645,CC1=NC=C(N1C)[N+](=O)[O-],0.9208187539523752
