SID,SMILES,-log10(Carcinogenicity-Mouse_(TD50) [mmol/kg-bw/day])
48413363,C1=CC(=C(C=C1C=CC(=O)O)O)O,-1.4345689040341987
48413373,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,0.2620126736665692
48413374,C1C=CCC2C1C(=O)N(C2=O)SC(C(Cl)Cl)(Cl)Cl,0.2924298239020636
48413375,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-0.8463371121298052
48413376,C(=O)(N)NN.Cl,-0.3010299956639812
48413377,C1=CC=C(C=C1)NNC(=O)N,-0.03742649794062367
48413380,C1=CC=C2C(=C1)C3=CC=CC=C3N2,0.008330992620051499
48413382,C(Cl)(Cl)(Cl)Cl,0.6615435063953952
48413390,C1=CC=C(C(=C1)O)O,-0.3463529744506387
48413395,C(C(Cl)(Cl)Cl)(O)O,0.2189630613788682
48413396,C1=C(C=C(C(=C1N)Cl)C(=O)O)Cl,-1.404833716619938
48413397,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,3.359518563029578
48413401,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,2.4762535331884354
48413402,C1(C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)C(=O)O)C(=O)O,0.4400933749638875
48413404,CCCC(CCC(CCC(CCC(CCC(CCC(CCC(C)Cl)Cl)Cl)Cl)Cl)Cl)Cl,-1.0644579892269186
48413409,C1=CC(=CC=C1N)OC2=CC=C(C=C2)Cl,-0.19865708695442263
48413413,CC(=C)CCl,-1.041392685158225
48413413,CC(=C)CCl,-1.041392685158225
48413415,C1=CC=C(C(=C1)[N+](=O)[O-])Cl,0.0017406615763012698
48413416,C1=CC(=CC=C1[N+](=O)[O-])Cl,-0.47712125471966244
48413417,C1=CC(=C(C=C1N)N)Cl,-0.9360107957152096
48413418,C1=CC(=C(C=C1Cl)N)N,-0.9731278535996987
48413422,CC1=C(C=C(C=C1)Cl)N,-0.13987908640123647
48413423,CC1=C(C=CC(=C1)Cl)N.Cl,0.8386319977650252
48413425,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C,1.4762535331884354
48413426,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)NCCO)Cl)C,0.9136401693252518
48413427,C(C=O)Cl,0.3372421683184259
48413431,C1=CC(=CC=C1N)Cl.Cl,0.2628073572952627
48413434,CCOC(=O)C(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O,0.5391021572434522
48413435,C(Cl)(Br)Br,0.175874166083451
48413437,CCCl,-1.4487063199050798
48413441,C(Cl)(Cl)Cl,0.031517051446064856
48413444,C1=CC(=CN=C1)CCl.Cl,-0.146128035678238
48413451,C=CC(=C)Cl,1.034798298974088
48413453,CC(C=O)Cl,0.8569851997459049
48413454,CC=CCl,1.1804560644581312
48413465,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,0.07727454200674003
48413468,C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2N,-1.0086001717619175
48413469,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,1.6695862266508092
48413474,CC(C)(C(=O)O)OCC1=CC=C(C=C1)C2=CC=C(C=C2)Cl,0.2967086218813386
48413479,O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Co+2],2.570247719997592
48413483,CCCC1=C(C=CC(=C1O)C(=O)C)OCCCCC2=NNN=N2,0.45345733652186904
48413487,C1=CC=C2C(=C1)C=CC(=O)O2,0.1518108830086013
48413489,CC1=CC(=C(C=C1)OC)N,0.40230481407448765
48413491,C1=CC=C(C=C1)N(N=O)[O-].[NH4+],-0.5763413502057928
48413495,C1CCC(CC1)NS(=O)(=O)[O-].[Na+],-0.5198279937757188
48413496,CCC1C(=O)NC(C(=O)NC(CC(=O)NC(C(=O)N2CC(C(C2C(=O)N1)Cl)Cl)CO)C3=CC=CC=C3)CO,1.3851027839668655
48413505,C1CNP(=O)(OC1)N(CCCl)CCCl,1.6420651529995463
48413507,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)OC(=O)C,1.2798406965940432
48413510,CN(C)NN=C1C(=NC=N1)C(=O)N,2.275724130399211
48413511,CN(C)NC(=O)CCC(=O)O,-0.8082109729242221
48413514,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,1.0181813928293364
